input,question,<ans>,input_tok,question_tok,ans_tok
台湾人？千万别和他提共产党。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,9,32,2
中国的官员是一个高危职业，中国的商人或企业家的高危程度其实也不亚于官员。而后者的高危，恰恰是由前者造成的。商人可以富可敌国，然而，一旦触犯了权力，尤其是最高权力，转瞬间就灰飞烟灭，身首异处。这种情况自古皆然。助秦建立霸业的“亚父”吕不韦、明朝首富沈万三、清代“红顶商人”胡雪岩等民间耳熟能详的中国历史上的这些大商人，最后都不得善终，可以讲，历代和政权合作的商人中，没几个有好下场。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,137,32,1
习之所以要严厉打击商人，是因为在他看来，资本力量的坐大，直接威胁他对政局的控制和党的统治。在被查处的腐败高官背后，几乎都有商人尤其“红顶商人”的影子。他提出的“亲”“清”新型政商关系，公开的说法是要在官员和商人之间，实现政商关系的科学分割，从制度上斩断官员将政治资源转化为财富，商人将经济财富转化为政治权力的黑色利益链，同时打击官场之内的权力货币化现象。然而，实际上，他的反腐和对资本的整顿，目的之一是要资本臣服，告诉“红顶商人”，你们的财富来自党和国家的“赐予”，如果不愿意听从党——习是党的人格化身——的指挥和安排，为党所用，而和习的党内政敌搞在一起，用财富资助他们反对习，挑战其权威，就是在与党国为敌，是不允许的。上面这几个商界大佬，和中共权贵集团有着深度勾连，充当权贵集团的“白手套”，直接或间接反习，威胁习政权的稳定，就成了习打击的对象。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,258,32,2
在今年的国庆讲话中，习近平说，“新征程上，我们的前途一片光明，但脚下的路不会是一马平川。团结就是力量，信心赛过黄金。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,41,32,1
最近习近平签署命令，发布《军队实施〈中华人民共和国人口与计划生育法〉办法》，凸显出中国在人口政策上的尴尬和矛盾。一方面，计划生育导致中国面临史无前例的人口危机，即便官方也不得不承认人口已经负增长，在试图鼓励生育；另一方面，为了政策的连续性和政府的脸面，至今没有废弃计划生育和计划生育法。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,80,32,1
其次，中国目前在中东不断寻求同海湾国家增强联系与合作，首当其冲的就是沙特阿拉伯和阿联酋。去年年底中国国家主席习近平对沙特阿拉伯进行了国事访问，在今年三月又促成了沙特同伊朗之间的阶段性和解。近年来沙特同美国的盟友关系多生龃龉，沙特也在不断拓宽自己的国际选项和外交空间。对于中国来说，参加沙特组织的和平峰会无疑是向利雅得展示善意、支持其外交影响力的大好机会。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,109,32,1
考虑到元首外交和习近平访美的需要，美中关系改善的大趋势在中国外交部换将之后仍会得以延续。8月份美国商务部部长雷蒙多预期将率团访华，鉴于大部分的美国对华出口管制都由商务部负责，此次访问也许是真正测试美中关系能否实现突破的试金石。在双方制裁与反制裁的拉锯战中，最近都有一些积极的信号传来，包括美方有可能取消一些涉及中国公安部和禁毒部门的制裁，而中方将提高在芬太尼问题上的合作。在两军交流的问题上，关于如何解决美国对国防部长李尚福的制裁问题上也有新的讨论——解除对中国国防部长的制裁也许可以构成他访美或者同美国防长会面的理由，但并不是恢复美中两军工作层级交流的前提条件。近期，双方对于年内恢复两军交流似乎都有了一定信心和预期。作为美中关系改善的另一个关键内容，两军交流也许指日可待。, 你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是,225,32,1
"作为中国外交的一员老将，王毅身兼三职：中共中央政治局委员、中央外办主任和外交部长。类似的人事安排并非没有先例，新中国成立以来周恩来兼任总理和外交部长将近十年时间 (1949-1958) , 在1993年到1998年间钱其琛也同时兼任副总理、政治局委员和外交部长职务。王毅的外交功底深厚，又是目前中国外交系统最高级的副国级官员，由他代替秦刚，对内能够稳定人心、确定方向；对外能够顺利接盘、利用多年积累的外交人脉推进中国外交的下一步工作。",你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,137,31,2
陌上美国：微信公众号难民。以前在墙内讲美国时事人气很高（在反贼阵营中）。后来因为隐晦纪念六四微信号被封号而转战油管和telegram。主编两口子都是医学方面的专业人士，经常会以详实的数据评论疫情，疫苗等医学议题。也经常点评美国时事政治。不过可能由于是新上岗主播，油管频道播报脱稿结巴痕迹有点重，日后有待加强。,你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,是的,99,31,2
"怕自己不夠全面都看, 畢竟老了難免江(僵)化多謝 @Joshua 約書亞提供這麽直觀的列表.還有 @RIchter 提供的方便列表甚至五粉毛我也看, 他們的放風代表了真理部的動向, 但的確是既沒人性又無邏輯的鴨話.非離岸五毛不看水平太低, 看陸内五毛不如裝個抖音算啦. 還沒裝過呢.我經常思考磊某的陳設, 大開間還有以前的大魚缸.爲啥跑加拿大就滋潤了? 態度卻又不如一般加人那麽 nice 呢?近來爲啥裝簾子呢, 對明白的人來說, 海外愛黨實際更諷刺.至於説人話但品質稍差的頻道, 我也看為自己的要求之低而微微一紅.基準還在的話内容還有價值, 剩下的不佳之處要看各自篩選了.至少人家沒賣給共黨, 或爲了混個僑領啥的就把靈魂賣啦.順便説下, 川普和拜登都不行啊, 這首任美國女總統吊打共黨極權的好戲咋就沒出現呢.美國自由還不夠啊, 美國公民加油.本身廣義華人只要說中文我無條件承認華人身份, 或許是我沒看到, 補充下:樂樂法利 https://youtube.com/c/LeLeFarley/videos樂樂法利 樂壞樂 近來脫更 https://youtube.com/c/乐坏乐/videos老雷 https://youtube.com/c/德国自干五/videos攝徒日記Fun TV https://youtube.com/c/攝徒日記/videos五嶽散人 https://youtube.com/channel/UCX8KQ5xQlm0MnZkmHO7CBDw/videosStan from Poland 斯坦說中文 https://youtube.com/c/StanfromPoland斯坦說中文/videos玛力再说mario‘s BB https://youtube.com/channel/UCtp4XB_Ns3_KpVH_IfkeMHQ/videos无名的小雷 (4個月未更新) https://youtube.com/channel/UCcBcUj082kc6z_7nAt1PuRQ/videos追申, 鏈接中的簡體中文是複製來的, 我承諾過要使用正體中文,會堅守承諾. 正如我承認台灣現為中華文化正統那樣.",你是一个懂国家政治的agent，请仔细阅读以下片段并判断如下的片段是否涉及政治敏感性并给出理由，回答要简洁。,<option>,621,31,1
